"","country","y","EnergyUse","GDP","pop","co2percap","Lowcarbon_energy","internet","urb"
"2553","Russia",2008,56092.9553183951,24887.8527197651,143248764,11.4271,11.012,38389219,73.598
"2723","Singapore",2008,59244.7983591341,71629.8274365717,4775810,12.055,0.199,3347265,100
"2743","Slovakia",2008,39608.2092149568,25451.1517570416,5399362,7.6626,26.906,3565944,55.111
"2753","Slovenia",2008,44619.9113597281,36081.1286420955,2023049,9.021,30.221,1174232,52.209
"2793","South Africa",2008,34310.2864785307,12628.200837388,49779472,9.9367,2.672,4249742,61.154
"2833","South Korea",2008,53844.3172166064,32275.1252504764,49182458,10.858,14.972,39867378,81.733
"2903","Spain",2008,35196.3156867854,39240.3951876123,46068811,7.3101,18.11,27414692,77.976
"2913","Sri Lanka",2008,5304.37717824434,8274.1753628626,19983984,0.5998,18.48,1156858,18.257
"2983","Sweden",2008,62568.9243622064,47963.4937520407,9236433,5.5094,62.618,8313201,84.746
"2993","Switzerland",2008,40702.5691232956,66598.8593697765,7622826,5.8658,48.647,6055721,73.556
"3043","Thailand",2008,18896.7649929401,13620.5323660986,66530979,3.41,2.725,12111328,41.242
"3093","Trinidad and Tobago",2008,164298.195403549,29538.9110681988,1314449,33.5469,0.028,457749,54.402
"3113","Turkey",2008,16302.6479013815,19933.0672704029,70418612,4.3926,7.75,24210239,69.651
"3123","Turkmenistan",2008,53352.0855612048,7665.45219775881,4935765,11.4809,0.006,86376,47.868
